id	category	english_cue	expression	anchor	example	sources	note
S1	Structurer et prendre position	The real question is whether…	La vraie question est de savoir si […]	La vraie question est de savoir si	La vraie question est de savoir si Internet pousse vraiment les gens à devenir plus solitaires.	Culture P2; Culture P5; Economie P2; Economie P3; Education P1; Education P3; Environnement P2; Environnement P3; Famille P1; Famille P3; Santé P2; Santé P3; Technologie P1; Technologie P4; Technologie P7	Neutral reformulation; indirect question, no inversion.
S2	Structurer et prendre position	The question is how far…	La vraie question est de savoir jusqu'où […]	La vraie question est de savoir jusqu'où	La vraie question est de savoir jusqu'où l'État peut, et doit, organiser et encadrer la vie en société.	Culture P1; Culture P3; Economie P5	Frames degree or limits precisely.
S3	Structurer et prendre position	What can … bring?	La vraie question est de savoir ce que […] peut apporter	La vraie question est de savoir ce que	La vraie question est de savoir ce que le voyage en solitaire peut apporter, et s'il s'agit d'un vrai choix positif ou simplement d'un cas particulier.	Culture P21	Useful for benefit-based prompts.
S4	Structurer et prendre position	In my view, yes…	À mon avis, oui, […]	À mon avis, oui	À mon avis, oui, il est très important de favoriser le bien-être au travail.	Culture P2; Culture P5; Economie P2; Economie P6; Economie P7; Education P2; Education P3; Education P6; Education P7; Education P23; Environnement P2; Environnement P3; Famille P4; Santé P1; Technologie P13	Direct, oral-friendly position.
S5	Structurer et prendre position	I broadly agree…	je suis plutôt d'accord : […]	je suis plutôt d'accord	À mon avis, oui, je suis plutôt d'accord : travailler et étudier en même temps est une situation vraiment difficile, même si ce n'est pas impossible.	Culture P3; Environnement P6; Santé P3; Santé P7	Soft agreement leaves room for nuance.
S6	Structurer et prendre position	I do not entirely agree…	je ne suis pas totalement d'accord : […]	je ne suis pas totalement d'accord	À mon avis, non, je ne suis pas totalement d'accord : la voiture reste très utile, mais elle n'est pas indispensable pour tout le monde.	Environnement P5; Famille P7; Famille P10; Santé P23	Diplomatic partial disagreement.
S7	Structurer et prendre position	I take a fairly critical view of…	je porte un regard plutôt critique sur […]	je porte un regard plutôt critique sur	À mon avis, je porte un regard plutôt critique sur ce phénomène, même si je peux comprendre certains cas individuels.	Santé P9; Santé P24	Evaluative without sounding categorical.
S8	Structurer et prendre position	Personally, I prefer… because…	Personnellement, je préfère […], parce que […]	Personnellement, je préfère	Personnellement, je préfère Internet, parce qu'il me permet de m'informer vite et de comparer facilement plusieurs sources.	Technologie P21; Technologie P24	Strong personal-choice frame.
S9	Structurer et prendre position	My first point is…	Je pense d'abord que […]	Je pense d'abord que	Je pense d'abord que la notoriété, en elle-même, ne donne aucune compétence politique.	Culture P12; Culture P15; Culture P26; Culture P33; Culture P35; Economie P2; Economie P6; Economie P16; Education P3; Education P7; Environnement P2; Famille P2; Santé P4; Santé P22; Technologie P6	Introduces argument one naturally.
S10	Structurer et prendre position	Secondly, I think…	Ensuite, je pense que […]	Ensuite, je pense que	Ensuite, je pense que ces voyages profitent en réalité à très peu de personnes.	Culture P20; Culture P27; Economie P1; Economie P2; Education P1; Education P2; Environnement P2; Environnement P3; Famille P2; Famille P3; Santé P3; Santé P4; Technologie P2; Technologie P17; Technologie P18	Clear oral sequencing.
S11	Structurer et prendre position	Finally, I think…	Enfin, je pense que […]	Enfin, je pense que	Enfin, je pense que cet équilibre dépend aussi des choix des consommateurs.	Culture P15; Culture P16; Economie P1; Economie P2; Education P1; Education P2; Environnement P1; Environnement P2; Environnement P14; Famille P1; Famille P2; Santé P1; Santé P2; Technologie P1; Technologie P2	Signals final argument.
S12	Structurer et prendre position	Take the example of…	Prenons l'exemple de […]	Prenons l'exemple d'enfants	Prenons l'exemple d'enfants qui visitent un zoo lors d'une sortie scolaire : beaucoup y découvrent leur intérêt pour les animaux et pour la nature.	Culture P10; Culture P32; Environnement P2	Smooth transition from claim to evidence.
S13	Structurer et prendre position	In other words…	Autrement dit, […]	Autrement dit	Autrement dit, les liens avec les habitants doivent compléter ce soutien, pas l'effacer.	Culture P24; Culture P28	Concise reformulation or clarification.
S14	Structurer et prendre position	The issue is less X than Y	La vraie question est donc moins « […] » que « […] »	La vraie question est donc moins «	La vraie question est donc moins « la télévision est-elle utile ? » que « comment et combien je la regarde ? ».	Culture P12	Excellent reframing of a false binary.
S15	Structurer et prendre position	In conclusion, I would say…	En conclusion, je dirais que […]	En conclusion, je dirais que	En conclusion, je dirais que les métiers difficiles ne sont pas toujours les mieux payés.	Economie P3; Economie P17; Economie P20; Economie P22; Education P10; Environnement P1; Famille P3; Santé P3; Santé P19; Technologie P1; Technologie P5; Technologie P6; Technologie P9; Technologie P13; Technologie P25	Flexible, measured conclusion.
N1	Nuancer et comparer	Even though…	Même si […], […]	Même si	Même si le voyage reste une expérience unique, il n'est pas le seul moyen d'accéder à une culture.	Culture P1; Culture P4; Culture P7; Culture P14; Culture P20; Economie P2; Economie P22; Education P2; Education P14; Environnement P3; Famille P5; Famille P9; Santé P3; Technologie P2; Technologie P8	Concession; normally followed by the indicative.
N2	Nuancer et comparer	Provided one does…	à condition de [infinitif]	à condition de	À mon avis, oui, il faut préserver ses traditions et sa culture dans le pays d'accueil, à condition de rester ouvert au pays qui nous accueille.	Culture P5; Culture P10; Culture P11; Culture P32; Culture P33; Economie P7; Education P19; Environnement P2; Environnement P14; Famille P16; Santé P1; Santé P5; Santé P6; Technologie P6; Technologie P14	Same subject in both clauses; use infinitive.
N3	Nuancer et comparer	Provided that…	à condition que [subjonctif]	à condition qu'il	À mon avis, c'est un mode d'alimentation tout à fait respectable et possible, à condition qu'il reste équilibré et bien construit.	Environnement P3; Environnement P13; Santé P13	Requires the subjunctive.
N4	Nuancer et comparer	It all depends on…	Tout dépend de […]	Tout dépend de	Tout dépend des personnes et de l'histoire de chacun.	Culture P12; Culture P17; Culture P22; Culture P27; Economie P7; Environnement P14; Famille P10; Technologie P4; Technologie P7; Technologie P10; Technologie P22; Technologie P23; Technologie P26	Compact anti-generalisation device.
N5	Nuancer et comparer	…depends largely on…	[…] dépend largement de […]	dépend largement de	Mais cette difficulté n'est pas une fatalité : elle dépend largement des conditions du départ.	Culture P9; Culture P17; Culture P22; Culture P29	Identifies the decisive conditions.
N6	Nuancer et comparer	That does not mean that…	cela ne veut pas dire que […]	cela ne veut pas dire que	C'est normal, et cela ne veut pas dire que l'on perd son identité.	Culture P1; Economie P12; Education P1; Education P16; Famille P3	Blocks an overstrong inference.
N7	Nuancer et comparer	One must acknowledge that…	il faut reconnaître que […]	il faut reconnaître que	Cependant, il faut reconnaître que la manière d'étudier change avec l'âge.	Culture P15; Culture P18; Culture P19; Culture P21; Culture P23; Culture P25; Culture P34; Culture P35; Economie P9; Economie P14; Economie P18; Economie P23; Education P2; Education P7; Santé P7	Introduces a fair counterpoint.
N8	Nuancer et comparer	Not necessarily	ne […] pas forcément	pas forcément	Le jeu vidéo, en lui-même, n'est pas forcément mauvais.	Culture P27; Economie P3; Economie P18; Economie P20; Economie P24; Education P15; Environnement P10; Environnement P15; Famille P3; Famille P10; Santé P6; Santé P10; Santé P19; Technologie P16; Technologie P20	Weakens categorical claims.
N9	Nuancer et comparer	Is not reducible to…	ne se résume pas à […]	ne se résume pas à	En effet, l'intégration ne se résume pas à des éléments visibles comme le travail, le logement ou la maîtrise de la langue.	Culture P30; Culture P31; Santé P8	Adds dimensions to an oversimplified issue.
N10	Nuancer et comparer	Is not enough on its own	ne suffit pas à elle seule	ne suffit pas à elle seule	Elle ne suffit pas à elle seule, mais elle reste l'une des entrées les plus vivantes et les plus concrètes dans une culture.	Culture P15	Agreement with a clear limitation.
N11	Nuancer et comparer	Neither… nor…	n'est ni […] ni […]	n'est ni	Cependant, le bilan n'est ni totalement positif ni totalement négatif.	Culture P27; Education P21; Environnement P8; Technologie P22; Technologie P23; Technologie P26	Balanced two-part negation; omit articles where appropriate.
N12	Nuancer et comparer	Both… and…	à la fois […] et […]	à la fois	Opposer les deux serait à la fois injuste et peu efficace.	Culture P3; Culture P4; Culture P7; Culture P10; Economie P4; Economie P5; Education P2; Environnement P2; Environnement P4; Environnement P6; Famille P4; Santé P3; Santé P4; Santé P23; Technologie P10	Efficient double evaluation.
N13	Nuancer et comparer	Not only… but…	non seulement […], mais […]	non seulement	Cela montre que dans un cadre urbain, vivre sans voiture est non seulement possible, mais souvent plus simple.	Economie P11; Economie P24; Environnement P10; Environnement P15; Technologie P17; Technologie P20	Builds a stronger second claim.
N14	Nuancer et comparer	As much as, or even more than	autant, voire plus, que […]	autant, voire plus, que	Cela montre que le sens du travail pèse souvent autant, voire plus, que le simple salaire.	Economie P9; Economie P13	High-value graded comparison.
N15	Nuancer et comparer	Rather than / exception rather than rule	[…] plutôt que […]	plutôt que	Mais cela reste l'exception plutôt que la règle.	Culture P1; Culture P2; Culture P6; Culture P8; Culture P24; Economie P4; Economie P15; Education P8; Environnement P3; Famille P6; Famille P12; Santé P1; Santé P5; Technologie P3; Technologie P15	Contrasts preferred interpretation or option.
N16	Nuancer et comparer	Conversely…	À l'inverse, […]	À l'inverse	À l'inverse, sans aucun cadre, l'effet positif disparaît rapidement.	Culture P1; Culture P3; Economie P1; Economie P3; Education P1; Education P2; Environnement P1; Environnement P2; Famille P1; Famille P3; Santé P1; Santé P2; Technologie P1; Technologie P2; Technologie P19	Introduces the counter-scenario.
N17	Nuancer et comparer	Whereas…	alors que […]	alors que	En effet, les liens familiaux sont en général imposés par la naissance, alors que l'amitié repose sur un choix personnel et sur des affinités.	Culture P2; Culture P8; Culture P15; Culture P18; Culture P23; Culture P31; Economie P1; Economie P2; Education P1; Environnement P1; Famille P10; Famille P14; Santé P2; Technologie P11; Technologie P12	Contrast inside one sentence.
N18	Nuancer et comparer	Far from being…	Loin d'être […], […]	Loin d'être	Loin d'être une perte de temps, elles font partie d'une éducation complète.	Culture P6; Culture P13; Education P8; Education P11; Environnement P3	Strong rebuttal without blunt denial.
N19	Nuancer et comparer	In the long term	sur le long terme	sur le long terme	Sur le long terme, le mode de vie peut donc beaucoup s'éloigner de celui du pays d'origine.	Culture P6; Culture P17; Culture P22; Culture P24; Culture P27; Culture P28; Economie P6; Economie P9; Economie P13; Education P8; Education P13; Environnement P11; Famille P11; Santé P10; Santé P11	Essential time-horizon qualifier.
N20	Nuancer et comparer	Whatever…	quel que soit […]	quel que soit	Le vrai enjeu est de manger de façon variée, raisonnable et de qualité, quel que soit le choix de fond.	Santé P13	Fixed concessive form; quel agrees with its noun.
C1	Cause, conséquence et évaluation	Thanks to…	grâce à […]	grâce à	Tout d'abord, les personnes âgées donnent souvent de bons conseils grâce à leur expérience.	Culture P5; Culture P11; Economie P10; Education P12; Education P19; Education P21; Famille P3; Famille P7; Famille P9; Santé P14; Santé P23; Technologie P3; Technologie P13; Technologie P14; Technologie P25	Marks a positive or neutral cause.
C2	Cause, conséquence et évaluation	Because of…	à cause de […]	à cause de	En effet, préférer ou écarter quelqu'un à cause de son sexe revient à le juger sur ce qu'il est, et non sur ce qu'il fait.	Culture P29; Economie P17; Education P3; Environnement P9; Environnement P16; Santé P15; Santé P18; Technologie P12	Usually marks a negative cause.
C3	Cause, conséquence et évaluation	For lack of…	faute de […]	faute de	Fermer tous les zoos obligerait à les placer en urgence dans des sanctuaires déjà saturés, faute de meilleure solution.	Economie P14; Economie P15; Environnement P4	Concise absence-based explanation.
C4	Cause, conséquence et évaluation	Without…, …	Sans […], […]	Sans	Sans cette coopération, beaucoup de règles publiques restent purement théoriques.	Culture P3; Culture P5; Culture P9; Economie P1; Economie P2; Economie P5; Education P1; Education P2; Environnement P1; Environnement P2; Famille P1; Famille P2; Santé P1; Santé P2; Technologie P1	Creates a compact counterfactual condition.
C5	Cause, conséquence et évaluation	…which therefore…	[...,] ce qui […]	ce qui	En effet, des salariés satisfaits restent plus longtemps dans l'entreprise, ce qui réduit les coûts liés au recrutement et à la formation des nouveaux.	Culture P1; Culture P2; Culture P25; Economie P1; Economie P2; Economie P6; Economie P16; Economie P21; Education P2; Environnement P2; Famille P1; Santé P1; Technologie P1; Technologie P2; Technologie P8	Ce qui refers to the whole preceding proposition.
C6	Cause, conséquence et évaluation	This makes it possible to…	Cela permet de [infinitif]	Cela permet de	Cela permet de comprendre que c'est l'usage qui détermine l'effet.	Culture P1; Culture P3; Economie P1; Economie P5; Education P1; Education P2; Environnement P1; Environnement P2; Famille P1; Famille P2; Santé P1; Santé P2; Technologie P1; Technologie P2; Technologie P19	Highly productive consequence frame.
C7	Cause, conséquence et évaluation	This forces … to…	Cela oblige […] à [infinitif]	Cela oblige	Enfin, je pense que cela oblige les grandes enseignes à intégrer la question environnementale dans leur offre.	Culture P3; Economie P1; Economie P5; Economie P8; Environnement P7; Environnement P12	Useful for pressure or constraint.
C8	Cause, conséquence et évaluation	That would amount to…	[…] reviendrait à [infinitif]	reviendrait à	Payer ces postes au même niveau reviendrait à ignorer ces différences pourtant bien réelles.	Economie P12; Economie P19; Education P16; Education P17; Education P20; Santé P16	Conditional form tests a proposal’s implications.
C9	Cause, conséquence et évaluation	Risk doing…	risquer de [infinitif]	risque de transformer	Ensuite, parce que cela risque de transformer l'école en simple échange financier.	Famille P6; Famille P15	Expresses a plausible adverse result.
C10	Cause, conséquence et évaluation	Can lead to…	peut conduire à […]	peut conduire à	À l'opposé, partir trop vite sans aucune sécurité financière peut conduire à des situations très difficiles.	Education P5; Education P22; Famille P3; Famille P10; Famille P11; Famille P16; Santé P17; Santé P21	Works with a noun or infinitive.
C11	Cause, conséquence et évaluation	Ends up…	finit par [infinitif]	finit par	Ce décalage finit par abîmer la confiance dans l'idée d'une société juste.	Culture P1; Culture P5; Culture P11; Culture P16; Economie P2; Education P17; Famille P4; Famille P5; Famille P7; Famille P8; Santé P2; Santé P4; Santé P20; Technologie P22; Technologie P23	Shows gradual, cumulative consequence.
C12	Cause, conséquence et évaluation	Manifests itself as…	se traduit par […]	se traduit par	Cela se traduit par des troubles du sommeil, des maux de tête, des problèmes digestifs, de l'anxiété et parfois de la dépression.	Santé P17; Santé P21	Converts an abstract cause into concrete effects.
C13	Cause, conséquence et évaluation	Plays a decisive role in…	joue un rôle décisif dans […]	joue un rôle décisif dans	Ensuite, la maîtrise de la langue de travail joue un rôle décisif dans presque tous les secteurs.	Economie P1; Education P13	Strong but defensible evaluation.
C14	Cause, conséquence et évaluation	Has a direct impact on…	a un impact direct sur […]	a un impact direct sur	Une aide tournée vers eux a un impact direct sur leur vie quotidienne, parfois même sur leur santé.	Economie P9; Economie P13; Education P10; Education P24; Environnement P1	Connects policy or action to outcomes.
C15	Cause, conséquence et évaluation	Weighs on / harms…	pèse sur […]	pèse sur	En effet, le manque de sommeil est un problème courant, et cumuler la fatigue tout au long de la semaine pèse sur la santé physique et mentale.	Economie P4; Environnement P9; Environnement P16; Santé P20	Natural negative-impact collocation.
C16	Cause, conséquence et évaluation	Gives access to…	donne accès à […]	donne accès à	D'abord, parce qu'elle donne accès à l'histoire et à la culture profonde de ce pays.	Culture P6; Culture P19; Culture P20; Education P8; Education P14; Education P15	Reusable benefit mechanism.
C17	Cause, conséquence et évaluation	Greatly reduces the risk of…	réduit fortement le risque de […]	réduit fortement le risque d'échec	Plus largement, une bonne préparation administrative, financière et professionnelle réduit fortement le risque d'échec.	Education P1	Precise preventive evaluation.
C18	Cause, conséquence et évaluation	Often leads to…	mène souvent à […]	mène souvent à	En effet, vouloir tout changer immédiatement, sous la pression, mène souvent à un blocage.	Culture P1	Concise causal warning.
A1	Schémas d'argumentation	It is not about X, but Y	Il ne s'agit pas de […], mais de […]	Il ne s'agit pas de	Il ne s'agit pas de mentir, mais de protéger l'enfant de ce qui dépasse sa capacité à comprendre.	Economie P6; Economie P21; Famille P4; Famille P17; Santé P9; Santé P24	Excellent goal-reframing structure.
A2	Schémas d'argumentation	What matters is…	Ce qui compte, c'est […]	Ce qui compte, c'est	À mon avis, le sexe du responsable n'est pas un vrai critère ; ce qui compte, c'est la manière dont la personne dirige.	Economie P17; Famille P10; Santé P13; Technologie P3	Replaces a weak criterion with the relevant one.
A3	Schémas d'argumentation	The real problem chiefly comes from…	Le vrai problème vient surtout de […]	Le vrai problème vient surtout de	Le vrai problème vient surtout de l'excès et du manque de régulation.	Environnement P9; Environnement P16	Diagnoses the mechanism, not just the symptom.
A4	Schémas d'argumentation	The challenge is not X but Y	L'enjeu n'est donc pas de […], mais de […]	L'enjeu n'est donc pas de	L'enjeu n'est donc pas de diaboliser les écrans, mais de retrouver un meilleur équilibre.	Santé P2	Strong policy or solution frame.
A5	Schémas d'argumentation	The right balance is to…, while…	Le bon équilibre est de […], tout en […]	Le bon équilibre est de	Le bon équilibre est de garder ce qui compte vraiment, tout en s'ouvrant à ce que le nouveau pays a aussi à offrir.	Culture P10; Culture P32	Integrates apparently competing goals.
A6	Schémas d'argumentation	Ideally combine rather than oppose	L'idéal est de combiner […], plutôt que d'opposer […]	L'idéal est de combiner	L'idéal est de combiner ces différentes ressources, plutôt que d'opposer le livre au numérique.	Culture P6; Education P8; Education P10; Education P24; Environnement P1	Avoids false either/or reasoning.
A7	Schémas d'argumentation	It is better to…	il vaut mieux [infinitif]	il vaut mieux	En effet, plutôt que d'interdire sans expliquer, il vaut mieux poser des règles précises : pas de téléphone à table, pas de téléphone dans la chambre la nuit, temps d'écran limité, applications choisies ensemble.	Famille P6; Famille P10; Famille P12; Famille P13; Famille P14; Famille P15; Santé P8; Technologie P15; Technologie P16	Practical recommendation; valoir mieux + infinitive.
A8	Schémas d'argumentation	We need not choose between…	on n'est pas obligé de choisir entre […] et […]	on n'est pas obligé de choisir entre	Cela montre qu'on n'est pas obligé de choisir entre l'interdiction totale et l'accès complet.	Technologie P16	Rejects a binary choice explicitly.
A9	Schémas d'argumentation	There is no single answer	Il n'existe donc pas de réponse unique.	Il n'existe donc pas de réponse unique.	Il n'existe donc pas de réponse unique.	Santé P14	Compact contextual qualification.
A10	Schémas d'argumentation	Cannot be generalised to everyone	ne peut pas être généralisé à toute la population	ne peut pas être généralisé à toute la population	À mon avis, vivre sans voiture est tout à fait possible dans certains contextes, mais cela ne peut pas être généralisé à toute la population.	Economie P24; Environnement P10; Environnement P15; Technologie P20	Strong guard against overgeneralisation.
A11	Schémas d'argumentation	May work short term but lacks durability	[…] peut […] à court terme, mais […]	à court terme, mais	À mon avis, cette méthode peut motiver à court terme, mais elle n'est pas vraiment une bonne base éducative.	Famille P6; Famille P15	Separates immediate effect from lasting value.
A12	Schémas d'argumentation	Quality matters more than quantity	la qualité de […] compte plus que […]	compte plus que	Cependant, il faut reconnaître que l'on peut vivre des périodes de solitude choisie sans en souffrir, et que la qualité des amitiés compte plus que leur nombre.	Culture P16; Famille P8; Technologie P3; Technologie P5	Reusable quality-versus-quantity argument.
A13	Schémas d'argumentation	Must complement, not replace	doit rester un complément à […], pas un remplacement	doit rester un complément à	En effet, Internet doit rester un complément à la vie réelle, pas un remplacement.	Technologie P4; Technologie P7	Useful for technology, institutions and support.
A14	Schémas d'argumentation	Do not demand sacrifice without alternatives	on ne peut pas demander à […] de […] sans […]	demander aux gens de renoncer à leur voiture sans leur proposer de vraies alternatives	Cependant, on ne peut pas non plus demander aux gens de renoncer à leur voiture sans leur proposer de vraies alternatives.	Environnement P5	Fairness test for restrictive policies.
A15	Schémas d'argumentation	Both personal and collective benefit	un intérêt à la fois personnel et collectif	un intérêt à la fois personnel et collectif	Cela permet de comprendre que ce choix a un intérêt à la fois personnel et collectif.	Economie P24; Environnement P10; Environnement P15; Technologie P20	Broadens an argument beyond self-interest.
A16	Schémas d'argumentation	A shared responsibility	une responsabilité partagée par […]	une responsabilité partagée par	Cela montre que la lutte contre la pauvreté est une responsabilité partagée par tous les acteurs de la société.	Economie P23	Distributes duties across actors.
A17	Schémas d'argumentation	Do not conflict; reinforce one another	ne s'opposent pas, mais se renforcent mutuellement	ne s'opposent pas, mais se renforcent mutuellement	Cela montre que ces deux formes d'aide ne s'opposent pas, mais se renforcent mutuellement.	Santé P4	Strong complementarity pattern.
A18	Schémas d'argumentation	Prevention beats punishment	la prévention et l'éducation sont souvent plus efficaces qu'une simple logique de punition	la prévention et l'éducation sont souvent plus efficaces qu'une simple logique de punition	Enfin, parce que la prévention et l'éducation sont souvent plus efficaces qu'une simple logique de punition.	Santé P10; Santé P11; Santé P12	Reusable prevention-versus-repression argument.
A19	Schémas d'argumentation	Regular action is better than one-off action	une action régulière […] qu'une action ponctuelle	qu'une action ponctuelle	Ensuite, je pense qu'une action régulière est beaucoup plus admirable qu'une action ponctuelle.	Education P10; Education P24; Environnement P1	Adds continuity and commitment.
A20	Schémas d'argumentation	Not a luxury but an investment	n'est pas un luxe : c'est un investissement dans […]	n'est pas un luxe : c'est un investissement dans	Cela montre que cette mesure n'est pas un luxe : c'est un investissement dans la santé des équipes.	Economie P4	Recasts cost as long-term value.
A21	Schémas d'argumentation	Each actor does their part	chaque acteur fait sa part	chaque acteur fait sa part	Cela permet à l'action publique de produire des effets concrets et durables, parce que chaque acteur fait sa part.	Culture P3; Economie P5	Compact shared-action conclusion.
A22	Schémas d'argumentation	Must be balanced against…	doit être mis en balance avec […]	doit être mis en balance avec	Cela permet de comprendre que la protection de l'individu est aussi un droit fondamental, qui doit être mis en balance avec la liberté d'expression.	Education P17	Sophisticated rights/trade-off frame.
I1	Étranger et immigration	Open up to local residents	s'ouvrir aux habitants du pays d'accueil	s'ouvrir aux habitants du pays d'accueil	À mon avis, garder des liens avec des personnes de son pays d'origine est utile, surtout au début, mais il ne faut pas s'y limiter : pour vraiment s'intégrer, il faut aussi s'ouvrir aux habitants du pays d'accueil.	Culture P11	Core integration collocation.
I2	Étranger et immigration	Maintain a link with one’s original culture	garder un lien avec sa culture d'origine	garder un lien avec sa culture d'origine	Garder un lien avec sa culture d'origine donne une stabilité intérieure qui aide à mieux affronter tous ces bouleversements.	Culture P10; Culture P32	Identity and continuity argument.
I3	Étranger et immigration	Master the language and cultural codes	maîtriser la langue et les codes culturels	maîtriser la langue et les codes culturels	À mon avis, non, s'intégrer dans un pays étranger n'est pas vraiment facile : il faut du temps pour maîtriser la langue et les codes culturels, pour être accepté par la société d'accueil et pour finir par se sentir vraiment chez soi.	Culture P30	Joins linguistic and cultural integration.
I4	Étranger et immigration	Administrative and legal procedures	les démarches administratives et juridiques	les démarches administratives et juridiques	D'abord, parce que les démarches administratives et juridiques sont longues et exigeantes.	Economie P15	Highly reusable migration obstacle.
I5	Étranger et immigration	Break out of isolation	rompre l'isolement	rompre l'isolement	De même, rejoindre rapidement une association, un cours de langue ou un milieu professionnel actif permet de rompre l'isolement et d'avancer beaucoup plus vite.	Culture P9; Culture P11; Culture P29; Technologie P4; Technologie P7	Concrete integration solution.
I6	Étranger et immigration	Rebuild everything from scratch	tout reconstruire à partir de zéro	tout reconstruire à partir de zéro	À l'étranger, ce réseau disparaît du jour au lendemain, et il faut tout reconstruire à partir de zéro.	Culture P9; Culture P11; Culture P29	Vivid but broadly reusable.
I7	Étranger et immigration	Feel truly at home	se sentir vraiment chez soi	se sentir vraiment chez soi	Enfin, on peut remplir toutes les conditions visibles — langue, travail, logement — sans pour autant se sentir vraiment chez soi.	Culture P30	Captures integration beyond practical success.
I8	Étranger et immigration	A sense of belonging	un sentiment d'appartenance	ce sentiment d'appartenance	Tant que ce sentiment d'appartenance n'est pas là, on observe le pays plus qu'on ne le vit vraiment.	Culture P30	Key abstract noun for integration.
I9	Étranger et immigration	A dual sense of belonging	une double appartenance	une double appartenance	La transmission, au contraire, leur donne une double appartenance, qui est souvent une vraie richesse.	Culture P10; Culture P32	Positive bilingual/bicultural framing.
